                              | PREDICT__________________________________________| 
12/14/2025 23:32:18    1505   | -17660.65039    0.00197855942   0.02745037153    | -17660.65234    
12/14/2025 23:32:18    1506   | -17660.47461    0.01367553137   0.02855267376    | -17660.48828    
12/14/2025 23:32:18    1507   | -17660.48633    0.01172301546   0.02297084592    | -17660.49805    
12/14/2025 23:32:18    1508   | -17660.67969    0.01758096926   0.02652374655    | -17660.69727    
12/14/2025 23:32:18    1509   | -17660.53125    0.003919029143  0.03382739425    | -17660.53516    
12/14/2025 23:32:18    1510   | -17660.59961    0.007818897255  0.02463636361    | -17660.5918     
12/14/2025 23:32:18    1511   | -17660.67773    0.005867902189  0.04211034998    | -17660.67188    
12/14/2025 23:32:18    1512   | -17660.22656    0.01562820002   0.03722632304    | -17660.21094    
12/14/2025 23:32:18    1513   | -17660.35547    0.009770743549  0.02604294568    | -17660.3457     
12/14/2025 23:32:18    1514   | -17660.72266    0.003919029143  0.02487413958    | -17660.71875    
12/14/2025 23:32:18    1515   | -17660.61719    0.01562820002   0.01960735396    | -17660.60156    
12/14/2025 23:32:18    1516   | -17660.70312    0.005867902189  0.020441873      | -17660.69727    
12/14/2025 23:32:18    1517   | -17660          0.00197855942   0.03271933645    | -17659.99805    
12/14/2025 23:32:18    1518   | -17660.20508    0.007818897255  0.0332256332     | -17660.19727    
12/14/2025 23:32:18    1519   | -17660.39258    0.00197855942   0.03257115185    | -17660.39453    
12/14/2025 23:32:18    1520   | -17660.44531    0.00197855942   0.02499394864    | -17660.44336    
12/14/2025 23:32:18    1521   | -17660.19531    0.007818897255  0.02336053178    | -17660.1875     
12/14/2025 23:32:18    1522   | -17660.48828    0.007818897255  0.02496743388    | -17660.49609    
12/14/2025 23:32:18    1523   | -17660.36914    0.02148670144   0.03552240506    | -17660.34766    
12/14/2025 23:32:18    1524   | -17660.33008    0.01562820002   0.03309567645    | -17660.3457     
12/14/2025 23:32:18    1525   | -17660.32227    0.007818897255  0.02748627774    | -17660.33008    
12/14/2025 23:32:18    1526   | -17660.35938    0.005867902189  0.02673116513    | -17660.35352    
12/14/2025 23:32:18    1527   | -17660.35156    0.01172301546   0.02843046933    | -17660.33984    
12/14/2025 23:32:18    1528   | -17660.66602    0.01367553137   0.02379594371    | -17660.65234    
12/14/2025 23:32:18    1529   | -17660.49414    0.00197855942   0.03366407752    | -17660.49609    
12/14/2025 23:32:18    1530   | -17660.57812    0.003919029143  0.02222882584    | -17660.57422    
12/14/2025 23:32:18    1531   | -17660.6543     0.0003162277571 0.02602435276    | -17660.6543     
12/14/2025 23:32:18    1532   | -17660.63086    0.003919029143  0.03076571412    | -17660.63477    
12/14/2025 23:32:19    1533   | -17660.62695    0.01172301546   0.02626259066    | -17660.61523    
12/14/2025 23:32:19    1534   | -17660.84766    0.009770743549  0.02141309157    | -17660.83789    
12/14/2025 23:32:19    1535   | -17660.18555    0.005867902189  0.02537931129    | -17660.17969    
12/14/2025 23:32:19    1536   | -17660.4668     0.0003162277571 0.02463742346    | -17660.4668     
12/14/2025 23:32:19    1537   | -17660.375      0.0003162277571 0.03307632357    | -17660.375      
12/14/2025 23:32:19    1538   | -17660.46094    0.01367553137   0.02860463597    | -17660.44727    
12/14/2025 23:32:19    1539   | -17660.28125    0.01172301546   0.02863175981    | -17660.26953    
12/14/2025 23:32:19    1540   | -17660.49414    0.009770743549  0.03216495737    | -17660.48438    
12/14/2025 23:32:19    1541   | -17660.44922    0.007818897255  0.02403610758    | -17660.44141    
12/14/2025 23:32:19    1542   | -17660.4668     0.009770743549  0.03250610083    | -17660.45703    
12/14/2025 23:32:19    1543   | -17660.11133    0.00197855942   0.02769247256    | -17660.10938    
12/14/2025 23:32:19    1544   | -17660.37891    0.01172301546   0.03497952595    | -17660.36719    
12/14/2025 23:32:19    1545   | -17660.62891    0.005867902189  0.02392048016    | -17660.62305    
12/14/2025 23:32:19    1546   | -17660.46289    0.005867902189  0.02555052377    | -17660.45703    
12/14/2025 23:32:19    1547   | -17660.41406    0.009770743549  0.0280905664     | -17660.4043     
12/14/2025 23:32:19    1548   | -17660.5293     0.0003162277571 0.02426937781    | -17660.5293     
12/14/2025 23:32:19    1549   | -17660.47461    0.005867902189  0.02686810121    | -17660.48047    
12/14/2025 23:32:19    1550   | -17660.01562    0.01367553137   0.03463258594    | -17660.0293     
12/14/2025 23:32:19    1551   | -17660.33594    0.02148670144   0.03312356025    | -17660.35742    
12/14/2025 23:32:19    1552   | -17660.14453    0.01172301546   0.02946799435    | -17660.15625    
12/14/2025 23:32:19    1553   | -17660.56641    0.01758096926   0.03478839993    | -17660.58398    
12/14/2025 23:32:19    1554   | -17660.63281    0.005867902189  0.0259945076     | -17660.63867    
12/14/2025 23:32:19    1555   | -17660.55469    0.01172301546   0.0277803205     | -17660.54297    
12/14/2025 23:32:19    1556   | -17660.41211    0.00197855942   0.02724345215    | -17660.41016    
12/14/2025 23:32:19    1557   | -17660.57812    0.009770743549  0.02355892584    | -17660.58789    
12/14/2025 23:32:19    1558   | -17660.30859    0.01172301546   0.02969622612    | -17660.29688    
12/14/2025 23:32:19    1559   | -17660.43164    0.003919029143  0.02197130397    | -17660.42773    
12/14/2025 23:32:19    1560   | -17660.47461    0.00197855942   0.02373551764    | -17660.47656    
12/14/2025 23:32:19    1561   | -17660.29297    0.02539259382   0.04165159538    | -17660.31836    
12/14/2025 23:32:19    1562   | -17660.28125    0.01758096926   0.03309987485    | -17660.29883    
12/14/2025 23:32:20    1563   | -17660.47266    0.02929858118   0.02564500459    | -17660.50195    
12/14/2025 23:32:20    1564   | -17660.42578    0.01562820002   0.03459633887    | -17660.44141    
12/14/2025 23:32:20    1565   | -17660.43945    0.005867902189  0.03288958967    | -17660.44531    
12/14/2025 23:32:20    1566   | -17660.21094    0.01367553137   0.03504099324    | -17660.22461    
12/14/2025 23:32:20    1567   | -17660.4375     0.03320463002   0.03289552778    | -17660.4707     
12/14/2025 23:32:20    1568   | -17660.4375     0.01562820002   0.03161045536    | -17660.45312    
12/14/2025 23:32:20    1569   | -17660.43945    0.01953380927   0.03548339382    | -17660.45898    
12/14/2025 23:32:20    1570   | -17660.28516    0.02343963273   0.03595858067    | -17660.30859    
12/14/2025 23:32:20    1571   | -17660.19922    0.02343963273   0.03660216555    | -17660.22266    
12/14/2025 23:32:20    1572   | -17660.52148    0.009770743549  0.02872775681    | -17660.53125    
12/14/2025 23:32:20    1573   | -17660.23438    0.005867902189  0.03730798885    | -17660.22852    
12/14/2025 23:32:20    1574   | -17660.22656    0.01367553137   0.04187632725    | -17660.24023    
12/14/2025 23:32:20    1575   | -17660.29102    0.02734557912   0.02750354819    | -17660.31836    
12/14/2025 23:32:20    1576   | -17660.17188    0.009770743549  0.04478888586    | -17660.18164    
12/14/2025 23:32:20    1577   | -17660.29297    0.01562820002   0.03220235556    | -17660.30859    
12/14/2025 23:32:20    1578   | -17660.57812    0.02539259382   0.03006881475    | -17660.60352    
12/14/2025 23:32:20    1579   | -17660.05469    0.01953380927   0.05486985296    | -17660.07422    
12/14/2025 23:32:20    1580   | -17660.29102    0.01562820002   0.03505372629    | -17660.30664    
12/14/2025 23:32:20    1581   | -17660.57227    0.02539259382   0.02918887138    | -17660.59766    
12/14/2025 23:32:20    1582   | -17660.42188    0.02343963273   0.02840235271    | -17660.44531    
12/14/2025 23:32:20    1583   | -17660.76172    0.02148670144   0.0316995047     | -17660.7832     
12/14/2025 23:32:20    1584   | -17660.48828    0.009770743549  0.03951935098    | -17660.47852    
12/14/2025 23:32:20    1585   | -17660.11914    0.005867902189  0.03042134643    | -17660.125      
12/14/2025 23:32:20    1586   | -17660.3457     0.009770743549  0.02939648554    | -17660.35547    
12/14/2025 23:32:20    1587   | -17660.52148    0.005867902189  0.02891315147    | -17660.52734    
12/14/2025 23:32:20    1588   | -17660.28906    0.01172301546   0.02956474014    | -17660.30078    
12/14/2025 23:32:20    1589   | -17660.57617    0.009770743549  0.02678319067    | -17660.58594    
12/14/2025 23:32:20    1590   | -17660.50781    0.007818897255  0.02224904671    | -17660.51562    
12/14/2025 23:32:20    1591   | -17660.29883    0.01172301546   0.03249887004    | -17660.31055    
12/14/2025 23:32:20    1592   | -17660.52148    0.003919029143  0.02469479293    | -17660.51758    
12/14/2025 23:32:20    1593   | -17660.60352    0.00197855942   0.02209945023    | -17660.60156    
12/14/2025 23:32:21    1594   | -17660.58203    0.00197855942   0.01669571362    | -17660.58398    
12/14/2025 23:32:21    1595   | -17660.41602    0.0003162277571 0.02199800871    | -17660.41602    
12/14/2025 23:32:21    1596   | -17660.57227    0.009770743549  0.02117092162    | -17660.58203    
12/14/2025 23:32:21    1597   | -17660.65625    0.00197855942   0.02538350783    | -17660.6543     
12/14/2025 23:32:21    1598   | -17660.47852    0.003919029143  0.03031917848    | -17660.47461    
12/14/2025 23:32:21    1599   | -17660.375      0.00197855942   0.02645886317    | -17660.37695    
12/14/2025 23:32:21    1600   | -17660.32031    0.007818897255  0.0333551541     | -17660.3125     
12/14/2025 23:32:21    1601   | -17660.58984    0.00197855942   0.01900244132    | -17660.5918     
12/14/2025 23:32:21    1602   | -17660.46875    0.00197855942   0.02570371516    | -17660.4668     
12/14/2025 23:32:21    1603   | -17660.51562    0.01367553137   0.02435399778    | -17660.50195    
12/14/2025 23:32:21    1604   | -17660.36719    0.003919029143  0.03006035462    | -17660.36328    
12/14/2025 23:32:21    1605   | -17660.20312    0.01172301546   0.03633951768    | -17660.21484    
12/14/2025 23:32:21    1606   | -17660.6582     0.00197855942   0.02932518534    | -17660.65625    
12/14/2025 23:32:21    1607   | -17660.4375     0.009770743549  0.03160013258    | -17660.44727    
12/14/2025 23:32:21    1608   | -17660.58789    0.00197855942   0.02681972645    | -17660.58984    
12/14/2025 23:32:21    1609   | -17660.41797    0.003919029143  0.02504157089    | -17660.41406    
12/14/2025 23:32:21    1610   | -17660.58594    0.003919029143  0.02639674954    | -17660.58984    
12/14/2025 23:32:21    1611   | -17660.48438    0.005867902189  0.0213241186     | -17660.47852    
12/14/2025 23:32:21    1612   | -17660.33984    0.003919029143  0.02874754369    | -17660.33594    
12/14/2025 23:32:21    1613   | -17660.35742    0.02343963273   0.0276933331     | -17660.38086    
12/14/2025 23:32:21    1614   | -17660.28711    0.01172301546   0.02983969823    | -17660.29883    
12/14/2025 23:32:21    1615   | -17660.45703    0.00197855942   0.02660852484    | -17660.45898    
12/14/2025 23:32:21    1616   | -17660.65625    0.00197855942   0.02467458695    | -17660.6582     
12/14/2025 23:32:21    1617   | -17660.55273    0.02148670144   0.03126991913    | -17660.53125    
12/14/2025 23:32:21    1618   | -17660.45117    0.01172301546   0.02778956853    | -17660.43945    
12/14/2025 23:32:21    1619   | -17660.43359    0.007818897255  0.02502862178    | -17660.44141    
12/14/2025 23:32:21    1620   | -17660.46289    0.01758096926   0.02441728488    | -17660.44531    
12/14/2025 23:32:22    1621   | -17660.50781    0.009770743549  0.0236310102     | -17660.49805    
12/14/2025 23:32:22    1622   | -17660.14648    0.01758096926   0.02353654429    | -17660.12891    
12/14/2025 23:32:22    1623   | -17660.41016    0.005867902189  0.04621881619    | -17660.4043     
12/14/2025 23:32:22    1624   | -17660.06445    0.009770743549  0.04129093513    | -17660.07422    
12/14/2025 23:32:22    1625   | -17660.5293     0.007818897255  0.02902637608    | -17660.53711    
12/14/2025 23:32:22    1626   | -17660.51758    0.00197855942   0.02675807662    | -17660.51953    
12/14/2025 23:32:22    1627   | -17660.49609    0.00197855942   0.02073301561    | -17660.49414    
12/14/2025 23:32:22    1628   | -17660.53711    0.01172301546   0.02818661556    | -17660.52539    
12/14/2025 23:32:22    1629   | -17660.5625     0.005867902189  0.02267141268    | -17660.55664    
12/14/2025 23:32:22    1630   | -17660.35742    0.00197855942   0.03307694942    | -17660.35547    
12/14/2025 23:32:22    1631   | -17660.55273    0.003919029143  0.03519945592    | -17660.54883    
12/14/2025 23:32:22    1632   | -17660.44922    0.009770743549  0.02549344674    | -17660.43945    
12/14/2025 23:32:22    1633   | -17660.28711    0.007818897255  0.0303891208     | -17660.2793     
12/14/2025 23:32:22    1634   | -17660.50586    0.01562820002   0.02712939493    | -17660.49023    
12/14/2025 23:32:22    1635   | -17660.24219    0.005867902189  0.03322036564    | -17660.23633    
12/14/2025 23:32:22    1636   | -17660.09766    0.0003162277571 0.03154300153    | -17660.09766    
12/14/2025 23:32:22    1637   | -17660.61914    0.005867902189  0.02377000451    | -17660.61328    
12/14/2025 23:32:22    1638   | -17660.48633    0.007818897255  0.02495327778    | -17660.47852    
12/14/2025 23:32:22    1639   | -17660.12891    0.00197855942   0.03581136093    | -17660.13086    
12/14/2025 23:32:22    1640   | -17660.51953    0.00197855942   0.02289363742    | -17660.51758    
12/14/2025 23:32:22    1641   | -17660.63281    0.0003162277571 0.02567152493    | -17660.63281    
12/14/2025 23:32:22    1642   | -17660.27148    0.00197855942   0.02679162845    | -17660.26953    
12/14/2025 23:32:22    1643   | -17660.63867    0.003919029143  0.02120275982    | -17660.64258    
12/14/2025 23:32:22    1644   | -17660.45312    0.00197855942   0.02425172925    | -17660.45508    
12/14/2025 23:32:22    1645   | -17660.40625    0.00197855942   0.02142139152    | -17660.4043     
12/14/2025 23:32:22    1646   | -17660.07422    0.02734557912   0.0420540534     | -17660.04688    
12/14/2025 23:32:22    1647   | -17660.48242    0.01562820002   0.03011436015    | -17660.49805    
12/14/2025 23:32:22    1648   | -17660.23633    0.007818897255  0.03298239037    | -17660.24414    
12/14/2025 23:32:22    1649   | -17660.35938    0.02539259382   0.0396197401     | -17660.33398    
12/14/2025 23:32:22    1650   | -17660.61719    0.009770743549  0.0408314541     | -17660.62695    
12/14/2025 23:32:23    1651   | -17660.5        0.02343963273   0.02767323144    | -17660.52344    
12/14/2025 23:32:23    1652   | -17660.42188    0.01172301546   0.03202535212    | -17660.43359    
12/14/2025 23:32:23    1653   | -17660.26172    0.02343963273   0.03629186377    | -17660.28516    
12/14/2025 23:32:23    1654   | -17660.1875     0.01367553137   0.03887508065    | -17660.20117    
12/14/2025 23:32:23    1655   | -17660.49805    0.01367553137   0.03358521685    | -17660.51172    
12/14/2025 23:32:23    1656   | -17660.58203    0.009770743549  0.03049508482    | -17660.5918     
12/14/2025 23:32:23    1657   | -17660.30664    0.01172301546   0.03520330787    | -17660.31836    
12/14/2025 23:32:23    1658   | -17660.37695    0.02929858118   0.04690732062    | -17660.40625    
12/14/2025 23:32:23    1659   | -17660.50195    0.02734557912   0.02911360376    | -17660.5293     
12/14/2025 23:32:23    1660   | -17660.4707     0.02929858118   0.03536005691    | -17660.5        
12/14/2025 23:32:23    1661   | -17660.13281    0.01172301546   0.04151639715    | -17660.14453    
12/14/2025 23:32:23    1662   | -17660.40625    0.009770743549  0.0379604511     | -17660.41602    
12/14/2025 23:32:23    1663   | -17660.24023    0.02148670144   0.04357718676    | -17660.26172    
12/14/2025 23:32:23    1664   | -17660.2207     0.0003162277571 0.03395373747    | -17660.2207     
12/14/2025 23:32:23    1665   | -17660.20508    0.04296991229   0.04333420843    | -17660.24805    
12/14/2025 23:32:23    1666   | -17660.32812    0.02734557912   0.03723754734    | -17660.35547    
12/14/2025 23:32:23    1667   | -17660.37891    0.01367553137   0.02539615147    | -17660.39258    
12/14/2025 23:32:23    1668   | -17660.0957     0.005867902189  0.0508213155     | -17660.10156    
------------------------------------------------------------------------------------------------------
MEAN_LOSS(E): 0.012019   
MEAN_LOSS(F): 0.031057   
------------------------------------------------------------------------------------------------------

* NUMBER OF PARAMETERS: 
 - MODEL(TOTAL)   358592
 --- HIDDEN.      32x0e+16x1o+8x2e
 --- FEATS. DIM.  64
 --- RADI. BASIS. 8

* SEED NUMBER:
 - DATA_SEED      10
 - INIT_SEED      11

* DATA INFO:
 - N(TRAIN)       450
 - N(VALID)       50
 - BATCH          1
 - CUTOFF         6.0
 - AVG. NEIGH.    26

* ELAPSED TIME:
 - 0 DAYS, 0 HOURS, 0 MINUTES, and 59 SECONDS
 -- DAYS          0.00068287037  
 -- HOURS         0.0163888889   
 -- MINUTES       0.983333333    
 -- SECONDS       59             

------------------------------------------------------------------------------------------------------
 
{'NN': {'data_seed': 10,
        'enr_lambda': 1,
        'fname_pkl': 'model.pkl',
        'frc_lambda': 100,
        'init_seed': 11,
        'l2_lambda': 0.0,
        'learning_rate': 0.01,
        'loss_config': {'energy_loss': 'rmse', 'force_loss': 'rmse'},
        'nepoch': 100,
        'nsave': 5,
        'restart': False,
        'weight_decay': 0},
 'active_fn': 'identity',
 'avg_num_neighbors': 26,
 'cueq_config': False,
 'cutoff': 6.0,
 'device': 'gpu',
 'element': 'auto',
 'features_dim': 64,
 'fname_traj': '../dataset/train_300K.xyz',
 'gpu-parallel': False,
 'hidden_channels': '32x0e+16x1o+8x2e',
 'log_config': {'lr': ['lr'],
                'step': ['date', 'epoch'],
                'train': ['loss', 'loss_e', 'loss_f'],
                'valid': ['loss', 'loss_e', 'loss_f']},
 'log_interval': 2,
 'log_length': 'simple',
 'max_ell': 2,
 'model': 'race',
 'nbatch': 1,
 'nlayers': 3,
 'ntrain': 450,
 'num_radial_basis': 8,
 'num_species': 4,
 'nvalid': 50,
 'output_channels': '1x0e',
 'pbc': True,
 'predict': {'evaluate_tag': True,
             'fname_plog': 'predict.out',
             'fname_traj': '../dataset/test_300K.xyz',
             'loss_config': {'energy_loss': 'rmse', 'force_loss': 'rmse'},
             'model': 'model.pkl',
             'ndata': '../dataset/test_300K.xyz'},
 'regress_forces': True,
 'scheduler': {'decay_factor': 0.9,
               'lr_gamma': 0.1,
               'max_steps': 30,
               'patience': 50,
               'scheduler': 'ReduceLROnPlateau',
               'threshold': 0.0001,
               'warmup_factor': 0.2,
               'warmup_steps': 10},
 'train': {'fname_log': 'loss_train.out'},
 'trainer': 'base'}
